"The Little Prince","None","Antoine de Saint-Exupéry; Richard Howard","4.33","2,435,109","83,363","A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. "Please," asks the stranger, "draw me a sheep." And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.Few stories are as widely read and as universally cherished by children and adults alike asThe Little Prince, presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages.Show more","96","April 6, 1943","Classics; Fiction; Fantasy; Childrens; France; Philosophy; Young Adult","https://www.goodreads.com/book/show/157993.The_Little_Prince"
"Animal Farm","None","George Orwell; Russell Baker; C.M. Woodhouse","4.01","4,471,933","128,990","Librarian's note: There is an Alternate Cover Edition for this edition of this bookhere.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible.WhenAnimal Farmwas first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.Show more","141","August 17, 1945","Classics; Fiction; Dystopia; Fantasy; School; Politics; Literature","https://www.goodreads.com/book/show/170448.Animal_Farm"
"Fahrenheit 451","Fahrenheit 451","Ray Bradbury","3.97","2,788,769","93,279","Nearly seventy years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.Show more","194","January 1, 1953","Classics; Fiction; Science Fiction; Dystopia; School; Literature; Audiobook","https://www.goodreads.com/book/show/13079982-fahrenheit-451"
"1984","None","George Orwell; Thomas Pynchon","4.20","5,368,109","150,851","A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching. Thought Police, Big Brother, Orwellian - these words have entered our vocabulary because of George Orwell's classic dystopian novel 1984. The story of one man's Nightmare Odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality. With a foreword by Thomas Pynchon. This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be foundhere.Show more","368","June 8, 1949","Classics; Fiction; Science Fiction; Dystopia; Literature; Politics; Novels","https://www.goodreads.com/book/show/61439040-1984"
"To Kill a Mockingbird","To Kill a Mockingbird ","Harper Lee","4.26","6,801,524","131,110","One of the best-loved stories of all time,To Kill a Mockingbirdhas been translated into more than forty languages, sold more than forty million copies worldwide, served as the basis for an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable coming-of-age tale in a South poisoned by virulent prejudice, it views a world of great beauty and savage iniquities through the eyes of a young girl, as her father — a crusading local lawyer — risks everything to defend a black man unjustly accused of a terrible crime.","323","July 11, 1960","Classics; Fiction; Historical Fiction; School; Literature; Young Adult; Historical","https://www.goodreads.com/book/show/56916837-to-kill-a-mockingbird"
"The Great Gatsby","None","F. Scott Fitzgerald; Jesmyn Ward","3.93","5,837,924","127,385","Alternate covers of this ISBN can be foundhere,hereandhere.James L. W. West III to include the author’s final revisions and features a note on the composition and text, a personal foreword by Fitzgerald’s granddaughter, Eleanor Lanahan—and a new introduction by two-time National Book Award winner Jesmyn Ward.The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted “gin was the national drink and sex the national obsession,” it is an exquisitely crafted tale of America in the 1920s.Show more","180","April 10, 1925","Classics; Fiction; School; Historical Fiction; Romance; Literature; Novels","https://www.goodreads.com/book/show/41733839-the-great-gatsby"
"The Catcher in the Rye","None","J.D. Salinger","3.80","3,856,544","100,754","It's Christmas time and Holden Caulfield has just been expelled from yet another school...Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.The Catcher in the Ryeis an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.J.D. Salinger's(1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included onTime's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.Show more","277","July 16, 1951","Classics; Fiction; Young Adult; Literature; School; Coming Of Age; Novels","https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye"
"Lord of the Flies","None","William Golding","3.70","3,166,216","66,083","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”Show more","182","September 17, 1954","Classics; Fiction; Young Adult; School; Dystopia; Literature; Read For School","https://www.goodreads.com/book/show/7624.Lord_of_the_Flies"
"Of Mice and Men","None","John Steinbeck","3.89","2,800,498","64,469","“I got you to look after me, and you got me to look after you, and that's why.”They are an unlikely pair: George is"small and quick and dark of face";Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a"family,"clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. But George and Lennie have a plan: to own an acre of land and a shack they can call their own.While the powerlessness of the laboring class is a recurring theme in Steinbeck's work of the late 1930s, he narrowed his focus when composingOf Mice and Men, creating an intimate portrait of two men facing a world marked by petty tyranny, misunderstanding, jealousy, and callousness. But though the scope is narrow, the theme is universal: a friendship and a shared dream that makes an individual's existence meaningful.A unique perspective on life's hardships, this story has achieved the status of timeless classic due to its remarkable success as a novel, a Broadway play, and three acclaimed films.Show more","107","February 25, 1937","Classics; Fiction; School; Historical Fiction; Literature; Read For School; Novels","https://www.goodreads.com/book/show/890.Of_Mice_and_Men"
"Romeo and Juliet","None","William Shakespeare; Paul Werstine; Barbara A. Mowat","3.74","2,800,482","37,566","THIS UPDATED EDITION INCLUDES:• Newly re-edited play text and revised commentary notes• Scene-by-scene plot summaries• A key to the play's famous lines and phrases• An introduction to reading Shakespeare's language• An essay by a leading Shakespeare scholar providing a modern perspective on the play• Fresh images from the Folger Shakespeare Library's vast holdings of rare books• An up-to-date annotated guide to further readingShow more","301","January 1, 1590","Classics; Plays; Fiction; Romance; School; Shakespeare; Drama","https://www.goodreads.com/book/show/59926998-romeo-and-juliet"
"The Outsiders","None","S.E. Hinton","4.14","1,575,382","56,998","No one ever said life was easy. But Ponyboy is pretty sure that he's got things figured out. He knows that he can count on his brothers, Darry and Sodapop. And he knows that he can count on his friends - true friends who would do anything for him, like Johnny and Two-Bit. And when it comes to the beating up on "greasers" like him and his friends - he knows that he can count on them for trouble. But one night someone takes things too far, and Ponyboy's world is turned upside down...","214","April 24, 1967","Classics; Young Adult; Fiction; School; Read For School; Coming Of Age; Historical Fiction","https://www.goodreads.com/book/show/192566704-the-outsiders"
